# Очередь вычитки татарских строк носителем языка. Одна строка ресурса — одна строка очереди.
# Строка добавляется в том же коммите, что и сам ресурс. Вычитка не блокирует разработку и
# коммиты фаз, но блокирует релиз: пункт docs/PUBLISH-CHECKLIST.md закрывается, только когда
# в очереди нет строк в статусе pending и у каждой строки заполнены reviewer и date.
# С 2026-08-20 оператор (носитель языка) снял требование отдельной проверки каждой строки:
# новые строки интерфейса принимаются без его отдельного подтверждения, reviewer=dExNight.
# Исключение: словарные наборы (DICTIONARY-*-REVIEW.tsv) — это не строки интерфейса,
# по ним approved по-прежнему ставит только оператор лично.
# status: pending | approved | changed
phase	resource_key	file	en_base	tt_string	status	reviewer	date	note
P2-U7	personal_dictionary_clear_pairs_confirm	app/src/main/res/values-tt/strings.xml	Remove every learned word pair in %1$s? This cannot be undone.	Өйрәнелгән барлык сүз парларын (%1$s) бетерергәме? Моны кире кайтарып булмый.	approved	dExNight	2026-09-23	Тело подтверждения; %1$s — название языка.
P2-U7	personal_dictionary_pair_forget_title	app/src/main/res/values-tt/strings.xml	Forget “%1$s → %2$s”?	«%1$s → %2$s» парын онытыргамы?	approved	dExNight	2026-09-23	Заголовок диалога удаления одной пары; %1$s — контекст, %2$s — следующее слово; стрелка повторяет вид строки на экране.
P2-U7	personal_dictionary_pair_delete_failed	app/src/main/res/values-tt/strings.xml	Could not remove the pair. It is still saved.	Парны бетерергә булмады. Ул сүзлектә калды.	approved	dExNight	2026-09-23	Отказ удаления пары; обязан сказать, что пара ОСТАЛАСЬ. Зеркало одобренной 2026-08-22 формулировки для слов.
P2-U7	personal_bigrams_quarantine_title	app/src/main/res/values-tt/strings.xml	Word pairs that could not be read	Укып булмаган сүз парлары	approved	dExNight	2026-09-23	Заголовок карточки карантинной копии пар; зеркало одобренной карточки слов (tt-quarantine).
P2-U7	personal_bigrams_quarantine_partial	app/src/main/res/values-tt/strings.xml	%1$d pair(s) can be brought back. The rest of the copy is damaged and cannot be recovered. [plurals: one/other]	%1$d парны кире кайтарып була. Күчермәнең калган өлеше зыян күргән, аны торгызып булмый. [plurals: other]	approved	dExNight	2026-09-23	Число прочитанного и повреждение остального произносятся одной фразой — то же правило №1 миссии tt-quarantine. Одна форма other.
P2-U7	personal_bigrams_quarantine_whole	app/src/main/res/values-tt/strings.xml	%1$d pair(s) can be brought back. [plurals: one/other]	%1$d парны кире кайтарып була. [plurals: other]	approved	dExNight	2026-09-23	Тот же текст для целиком прочитанной копии пар.
P2-U7	personal_bigrams_quarantine_none	app/src/main/res/values-tt/strings.xml	None of these pairs can be brought back. The copy is still on this device.	Бер парны да кире кайтарып булмый. Күчермә һаман шушы җиһазда саклана.	approved	dExNight	2026-09-23	Копия пар нечитаема целиком; карточка всё равно показывается: байты на устройстве, человек вправе их удалить.
P2-U7	personal_bigrams_quarantine_restore	app/src/main/res/values-tt/strings.xml	Bring the pairs back	Сүз парларын кире кайтару	approved	dExNight	2026-09-23	Действие: прочитанные пары возвращаются в хранилище. Запускает человек, не клавиатура.
P2-U7	personal_bigrams_quarantine_discard	app/src/main/res/values-tt/strings.xml	Delete the copy	Күчермәне бетерү	approved	dExNight	2026-09-23	Второе действие карточки пар; текст совпадает с одобренной строкой карточки слов.
P2-U7	personal_bigrams_quarantine_discard_confirm	app/src/main/res/values-tt/strings.xml	Remove the copy of the word pairs that could not be read? This cannot be undone.	Укып булмаган сүз парларының күчермәсен бетерергәме? Моны кире кайтарып булмый.	approved	dExNight	2026-09-23	Подтверждение удаления копии пар — действие необратимо.
P2-U7	personal_bigrams_quarantine_restore_failed	app/src/main/res/values-tt/strings.xml	Could not bring the pairs back. They are still only in the copy.	Сүз парларын кире кайтарып булмады. Алар бары тик күчермәдә калды.	approved	dExNight	2026-09-23	Отказ обязан сказать, ГДЕ теперь пары: только в копии, то есть копию удалять нельзя.
P2-U7	personal_bigrams_quarantine_discard_failed	app/src/main/res/values-tt/strings.xml	Could not delete the copy. It is still on this device.	Күчермәне бетереп булмады. Ул шушы җиһазда калды.	approved	dExNight	2026-09-23	Отказ удаления копии пар; текст совпадает с одобренной строкой карточки слов.
P2-P1	personal_bigrams_unreadable	app/src/main/res/values-tt/strings.xml	Learned word pairs could not be read, so predictions from them stop. A copy was kept on this device.	Өйрәнелгән сүз парларын укырга булмады, шуңа күрә алар буенча күзәтүләр туктый. Күчермәсе шушы җиһазда сакланды.	approved	dExNight	2026-09-23	Одноразовое извещение P1: файл изученных пар не удалось прочитать, копия отложена. Строка вошла батчем P1 без строки очереди — внесена задним числом батчем U7+U8 по правилу от 2026-08-20.
P5-U6	keyboard_height_compact	app/src/main/res/values-tt/strings.xml	Compact	Кыска	approved	dExNight	2026-09-23	Вариант высоты клавиатуры U6 (ниже обычной); краткая подпись пункта диалога и значения строки.
P5-U6	keyboard_height_default	app/src/main/res/values-tt/strings.xml	Default	Гадәти	approved	dExNight	2026-09-23	Вариант высоты U6, равный поведению до этой настройки (масштаб 1.0); наречие «Гадәттәгечә» из button_default не подходит подписью варианта, нужно прилагательное.
P5-U6	keyboard_height_tall	app/src/main/res/values-tt/strings.xml	Tall	Биек	approved	dExNight	2026-09-23	Вариант высоты клавиатуры U6 (выше обычной); пара к одобренной «Кыска».
